20120629T,53.0,53.0,53.0,53.0,0
20120702T,56.0,56.0,56.0,56.0,0
20120703T,59.0,59.0,59.0,59.0,0
20120705T,55.0,55.0,55.0,55.0,0
20120706T,51.0,51.0,51.0,51.0,0
20120709T,46.0,46.0,46.0,46.0,0
20120710T,48.0,48.0,48.0,48.0,0
20120711T,44.0,44.0,44.0,44.0,0
20120712T,44.0,44.0,44.0,44.0,0
20120713T,45.0,45.0,45.0,45.0,0
20120716T,48.0,48.0,48.0,48.0,0
20120717T,52.0,52.0,52.0,52.0,0
20120718T,52.0,52.0,52.0,52.0,0
20120719T,51.0,51.0,51.0,51.0,0
20120720T,51.0,51.0,51.0,51.0,0
20120723T,47.0,47.0,47.0,47.0,0
20120724T,41.0,41.0,41.0,41.0,0
20120725T,51.0,51.0,51.0,51.0,0
20120726T,55.0,55.0,55.0,55.0,0
20120727T,61.0,61.0,61.0,61.0,0
20120730T,57.0,57.0,57.0,57.0,0
20120731T,55.0,55.0,55.0,55.0,0
20120801T,55.0,55.0,55.0,55.0,0
20120802T,49.0,49.0,49.0,49.0,0
20120803T,63.0,63.0,63.0,63.0,0
20120806T,71.0,71.0,71.0,71.0,0
20120807T,70.0,70.0,70.0,70.0,0
20120808T,73.0,73.0,73.0,73.0,0
20120809T,75.0,75.0,75.0,75.0,0
20120810T,70.0,70.0,70.0,70.0,0
20120813T,75.0,75.0,75.0,75.0,0
20120814T,74.0,74.0,74.0,74.0,0
20120815T,72.0,72.0,72.0,72.0,0
20120816T,78.0,78.0,78.0,78.0,0
20120817T,79.0,79.0,79.0,79.0,0
20120820T,75.0,75.0,75.0,75.0,0
20120821T,74.0,74.0,74.0,74.0,0
20120822T,74.0,74.0,74.0,74.0,0
20120823T,72.0,72.0,72.0,72.0,0
20120824T,70.0,70.0,70.0,70.0,0
20120827T,68.0,68.0,68.0,68.0,0
20120828T,68.0,68.0,68.0,68.0,0
20120829T,63.0,63.0,63.0,63.0,0
20120830T,63.0,63.0,63.0,63.0,0
20120831T,59.0,59.0,59.0,59.0,0
20120904T,71.0,71.0,71.0,71.0,0
20120905T,74.0,74.0,74.0,74.0,0
20120906T,76.0,76.0,76.0,76.0,0
20120907T,83.0,83.0,83.0,83.0,0
20120910T,78.0,78.0,78.0,78.0,0
20120911T,86.0,86.0,86.0,86.0,0
20120912T,84.0,84.0,84.0,84.0,0
20120913T,91.0,91.0,91.0,91.0,0
20120914T,93.0,93.0,93.0,93.0,0
20120917T,92.0,92.0,92.0,92.0,0
20120918T,92.0,92.0,92.0,92.0,0
20120919T,92.0,92.0,92.0,92.0,0
20120920T,93.0,93.0,93.0,93.0,0
20120921T,93.0,93.0,93.0,93.0,0
20120924T,81.0,81.0,81.0,81.0,0
20120925T,81.0,81.0,81.0,81.0,0
20120926T,70.0,70.0,70.0,70.0,0
20120927T,76.0,76.0,76.0,76.0,0
20120928T,71.0,71.0,71.0,71.0,0
20121001T,72.0,72.0,72.0,72.0,0
20121002T,75.0,75.0,75.0,75.0,0
20121003T,76.0,76.0,76.0,76.0,0
20121004T,77.0,77.0,77.0,77.0,0
20121005T,78.0,78.0,78.0,78.0,0
20121008T,72.0,72.0,72.0,72.0,0
20121009T,66.0,66.0,66.0,66.0,0
20121010T,59.0,59.0,59.0,59.0,0
20121011T,56.0,56.0,56.0,56.0,0
20121012T,56.0,56.0,56.0,56.0,0
20121015T,54.0,54.0,54.0,54.0,0
20121016T,63.0,63.0,63.0,63.0,0
20121017T,61.0,61.0,61.0,61.0,0
20121018T,53.0,53.0,53.0,53.0,0
20121019T,56.0,56.0,56.0,56.0,0
20121022T,56.0,56.0,56.0,56.0,0
20121023T,42.0,42.0,42.0,42.0,0
